river_rivière,age_âge,year_année,latitude_latitude,longitude_longitude,n_n,mean fork length_longueur moyenne à la fourche
LaHave River,2,1999,44.53333,-64.71667,79,740.2658228
Middle Brook,1,1999,48.794529,-54.291912,15,529.6666667
Miramichi River,1,1999,46.93316907,-65.65078752,1675,575.7349254
Miramichi River,2,1999,46.93316907,-65.65078752,488,767.0614754
Nashwaak River,1,1999,46.117667,-66.589062,50,586.2
Nashwaak River,2,1999,46.117667,-66.589062,21,774
Northeast River,1,1999,47.270081,-53.837846,19,548.3157895
Rocky River,1,1999,47.225684,-53.564593,16,535.75
Saint John River,1,1999,45.95542,-66.607509,352,591.875
Saint John River,2,1999,45.95542,-66.607509,621,780.1932367
Terra Nova River,1,1999,48.66762,-54.002506,127,532.8661417
Torrent River,1,1999,50.612932,-57.168795,45,568.4444444
Conne River,1,2000,47.868005,-55.705978,193,516.6580311
English River,1,2000,54.962884,-59.762211,71,531.4647887
Exploits River,1,2000,49.088976,-55.354689,56,514.6785714
Gander River,1,2000,49.260019,-54.499243,122,542.557377
Harry's River,1,2000,48.507227,-58.506807,45,513.9333333
LaHave River,1,2000,44.53333,-64.71667,176,552.7215909
LaHave River,2,2000,44.53333,-64.71667,49,724
Middle Brook,1,2000,48.794529,-54.291912,17,528.2941176
Miramichi River,1,2000,46.93316907,-65.65078752,1337,569.1271503
Miramichi River,2,2000,46.93316907,-65.65078752,482,762.4439834
Nashwaak River,1,2000,46.117667,-66.589062,201,579.3830846
Nashwaak River,2,2000,46.117667,-66.589062,104,787.9711538
Northeast River,1,2000,47.270081,-53.837846,14,562.5
Rocky River,1,2000,47.225684,-53.564593,17,549.5294118
Saint John River,1,2000,45.95542,-66.607509,537,583.2402235
Saint John River,2,2000,45.95542,-66.607509,224,778.8392857
Terra Nova River,1,2000,48.66762,-54.002506,138,523.8405797
Torrent River,1,2000,50.612932,-57.168795,41,563.3902439
Western Arm Brook,1,2000,51.190752,-56.753424,23,548.7826087
Conne River,1,2001,47.868005,-55.705978,178,525.2247191
English River,1,2001,54.962884,-59.762211,101,537.8217822
Exploits River,1,2001,49.088976,-55.354689,101,551.9207921
Gander River,1,2001,49.260019,-54.499243,179,556.603352
Harry's River,1,2001,48.507227,-58.506807,12,506.8333333
LaHave River,1,2001,44.53333,-64.71667,92,557.673913
LaHave River,2,2001,44.53333,-64.71667,88,717.6704545
Middle Brook,1,2001,48.794529,-54.291912,25,566.88
Miramichi River,1,2001,46.93316907,-65.65078752,1381,571.6169442
Miramichi River,2,2001,46.93316907,-65.65078752,1399,764.8992137
Nashwaak River,1,2001,46.117667,-66.589062,116,585.5948276
Nashwaak River,2,2001,46.117667,-66.589062,135,773.637037
Rocky River,1,2001,47.225684,-53.564593,26,570.1153846
Saint John River,1,2001,45.95542,-66.607509,342,575.497076
Saint John River,2,2001,45.95542,-66.607509,368,771.3315217
Terra Nova River,1,2001,48.66762,-54.002506,74,530.7297297
Torrent River,1,2001,50.612932,-57.168795,53,570.8490566
Western Arm Brook,1,2001,51.190752,-56.753424,29,564.8275862
Conne River,1,2002,47.868005,-55.705978,217,516.7741935
English River,1,2002,54.962884,-59.762211,144,541.7361111
Exploits River,1,2002,49.088976,-55.354689,153,550.3529412
